Estado,inicio,varinicio,varfim,PT_V,id,int,real,lit,leia,escreva,Literal,Num,RCB,OPM,se,AB_P,"FC_P
",então,OPR,fimse,fim,enquanto,faça,fimenquanto,$
0,S2,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,aceita
2,,S4,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,S13,,,,S11,S12,,,,,S16,,,,,,S9,S17,,,
4,,,S20,,S21,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,R2
6,,,,,S13,,,,S11,S12,,,,,S16,,,,,,S9,S17,,,
7,,,,,S13,,,,S11,S12,,,,,S16,,,,,,S9,S17,,,
8,,,,,S13,,,,S11,S12,,,,,S16,,,,,,S9,S17,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,R30
10,,,,,S13,,,,S11,S12,,,,,S16,,,,,,S9,S17,,,
11,,,,,S26,,,,,,,,,,,,,,,,,,,,
12,,,,,S30,,,,,,S28,S29,,,,,,,,,,,,,
13,,,,,,,,,,,,,S57,,,,,,,,,,,,
14,,,,,S13,,,,S11,S12,,,,,S16,,,,,S32,,S17,,,
15,,,,,S13,,,,S11,S12,,,,,S16,,,,,,,S17,,S42,
16,,,,,,,,,,,,,,,,S43,,,,,,,,,
17,,,,,,,,,,,,,,,,S44,,,,,,,,,
18,,,,,R3,,,,R3,R3,,,,,R3,,,,,,R3,R3,,,
19,,,S20,,S21,,,,,,,,,,,,,,,,,,,,
20,,,,S46,,,,,,,,,,,,,,,,,,,,,
21,,,,,,S48,S49,S50,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,R10
23,,,,,,,,,,,,,,,,,,,,,,,,,R16
24,,,,,,,,,,,,,,,,,,,,,,,,,R22
25,,,,,,,,,,,,,,,,,,,,,,,,,R38
26,,,,S51,,,,,,,,,,,,,,,,,,,,,
27,,,,S52,,,,,,,,,,,,,,,,,,,,,
28,,,,R13,,,,,,,,,,,,,,,,,,,,,
29,,,,R14,,,,,,,,,,,,,,,,,,,,,
30,,,,R15,,,,,,,,,,,,,,,,,,,,,
31,,,,,R23,,,,R23,R23,,,,,R23,,,,,R23,R23,R23,,R23,
32,,,,,R29,,,,R29,R29,,,,,R29,,,,,R29,R29,R29,,R29,
33,,,,,S13,,,,S11,S12,,,,,S16,,,,,S32,,S17,,,
34,,,,,S13,,,,S11,S12,,,,,S16,,,,,S32,,S17,,,
35,,,,,S13,,,,S11,S12,,,,,S16,,,,,S32,,S17,,,
36,,,,,S13,,,,S11,S12,,,,,S16,,,,,S32,,S17,,,
37,,,,,R31,,,,R31,R31,,,,,R31,,,,,R31,R31,R31,,R31,
38,,,,,S13,,,,S11,S12,,,,,S16,,,,,,,S17,,S42,
39,,,,,S13,,,,S11,S12,,,,,S16,,,,,,,S17,,S42,
40,,,,,S13,,,,S11,S12,,,,,S16,,,,,,,S17,,S42,
41,,,,,S13,,,,S11,S12,,,,,S16,,,,,,,S17,,S42,
42,,,,,R37,,,,R37,R37,,,,,R37,,,,,R37,R37,R37,,R37,
43,,,,,S60,,,,,,,S61,,,,,,,,,,,,,
44,,,,,S60,,,,,,,S61,,,,,,,,,,,,,
45,,,,,R4,,,,R4,R4,,,,,R4,,,,,,R4,R4,,,
46,,,,,R5,,,,R5,R5,,,,,R5,,,,,,R5,R5,,,
47,,,,S69,,,,,,,,,,,,,,,,,,,,,
48,,,,R7,,,,,,,,,,,,,,,,,,,,,
49,,,,R8,,,,,,,,,,,,,,,,,,,,,
50,,,,R9,,,,,,,,,,,,,,,,,,,,,
51,,,,,R11,,,,R11,R11,,,,,R11,,,,,R11,R11,R11,,R11,
52,,,,,R12,,,,R12,R12,,,,,R12,,,,,R12,R12,R12,,R12,
53,,,,,R26,,,,R26,R26,,,,,R26,,,,,R26,R26,R26,,R26,
54,,,,,R27,,,,R27,R27,,,,,R27,,,,,R27,R27,R27,,R27,
55,,,,,R28,,,,R28,R28,,,,,R28,,,,,R28,R28,R28,,R28,
56,,,,,R39,,,,R39,R39,,,,,R39,,,,,R39,R39,R39,,R39,
57,,,,,S60,,,,,,,S61,,,,,,,,,,,,,
58,,,,S70,,,,,,,,,,,,,,,,,,,,,
59,,,,R19,,,,,,,,,,S71,,,,,,,,,,,
60,,,,R20,,,,,,,,,,R20,,,,,R20,,,,,,
61,,,,R21,,,,,,,,,,R21,,,,,R21,,,,,,
62,,,,,R33,,,,R33,R33,,,,,R33,,,,,R33,R33,R33,,R33,
63,,,,,R34,,,,R34,R34,,,,,R34,,,,,R34,R34,R34,,R34,
64,,,,,R35,,,,R35,R35,,,,,R35,,,,,R35,R35,R35,,R35,
65,,,,,R36,,,,R36,R36,,,,,R36,,,,,R36,R36,R36,,R36,
66,,,,,,,,,,,,,,,,,S72,,,,,,,,
67,,,,,,,,,,,,,,,,,,,S73,,,,,,
68,,,,,,,,,,,,,,,,,S74,,,,,,,,
69,,,R6,,R6,,,,,,,,,,,,,,,,,,,,
70,,,,,R17,,,,R17,R17,,,,,R17,,,,,R17,R17,R17,,R17,
71,,,,,S60,,,,,,,S61,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,S76,,,,,,,
73,,,,,S60,,,,,,,S61,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,S78,,,,,,,
75,,,,R18,,,,,,,,,,,,,,,,,,,,,
76,,,,,R24,,,,R24,R24,,,,,R24,,,,,R24,,R24,,,
77,,,,,,,,,,,,,,,,,R25,,,,,,,,
78,,,,,R32,,,,R32,R32,,,,,R32,,,,,,,R32,,R32,